"Concept","Requested Consortia/Study","Concept Box ID"
"Enhancing Breast Cancer Polygenic Risk Score with Variants from Candidate Gene Based Analyses_2025-10-29.docx","AABCG","2169230589343"
"Enhancing Breast Cancer Polygenic Risk Score with Variants from Candidate Gene Based Analyses_2025-10-29.docx","CIMBA","2169230589343"
"Enhancing Breast Cancer Polygenic Risk Score with Variants from Candidate Gene Based Analyses_2025-10-29.docx","LAGENO","2169230589343"
"Enhancing Breast Cancer Polygenic Risk Score with Variants from Candidate Gene Based Analyses_2025-10-29.docx","BCAC","2169230589343"
"Enhancing Breast Cancer Polygenic Risk Score with Variants from Candidate Gene Based Analyses_2025-10-29.docx","C-NCI","2169230589343"
"Genetic Determinants of Leukocyte Telomere Length and Their Impact on Breast Cancer Risk and Prognosis_2025-10-31.docx","AABCG","2166648491514"
"Genetic Determinants of Leukocyte Telomere Length and Their Impact on Breast Cancer Risk and Prognosis_2025-10-31.docx","CIMBA","2166648491514"
"Genetic Determinants of Leukocyte Telomere Length and Their Impact on Breast Cancer Risk and Prognosis_2025-10-31.docx","LAGENO","2166648491514"
"Genetic Determinants of Leukocyte Telomere Length and Their Impact on Breast Cancer Risk and Prognosis_2025-10-31.docx","BCAC","2166648491514"
"Genetic Determinants of Leukocyte Telomere Length and Their Impact on Breast Cancer Risk and Prognosis_2025-10-31.docx","C-NCI","2166648491514"
"Genetic Determinants of Leukocyte Telomere Length and Their Impact on Breast Cancer Risk and Prognosis_2025-10-31.docx","MERGE","2166648491514"
"Early-Onset Breast Cancer Risk: Age-Specific Genetic Susceptibility and Prediction in Diverse Populations_2025-10-30.docx","AABCG","2163891421489"
"Early-Onset Breast Cancer Risk: Age-Specific Genetic Susceptibility and Prediction in Diverse Populations_2025-10-30.docx","CIMBA","2163891421489"
"Early-Onset Breast Cancer Risk: Age-Specific Genetic Susceptibility and Prediction in Diverse Populations_2025-10-30.docx","LAGENO","2163891421489"
"Early-Onset Breast Cancer Risk: Age-Specific Genetic Susceptibility and Prediction in Diverse Populations_2025-10-30.docx","BCAC","2163891421489"
"Early-Onset Breast Cancer Risk: Age-Specific Genetic Susceptibility and Prediction in Diverse Populations_2025-10-30.docx","C-NCI","2163891421489"
"Mendelian Randomization of Obesity Related Traits in Relationship to Risk of Breast Cancer Risk and Subtypes Across Ancestries_2025-10-28.docx","AABCG","2166676072422"
"Mendelian Randomization of Obesity Related Traits in Relationship to Risk of Breast Cancer Risk and Subtypes Across Ancestries_2025-10-28.docx","LAGENO","2166676072422"
"Mendelian Randomization of Obesity Related Traits in Relationship to Risk of Breast Cancer Risk and Subtypes Across Ancestries_2025-10-28.docx","BCAC","2166676072422"
"Mendelian Randomization of Obesity Related Traits in Relationship to Risk of Breast Cancer Risk and Subtypes Across Ancestries_2025-10-28.docx","C-NCI","2166676072422"
"Extending the BOADICEA breast cancer risk prediction model to provide hormonal subtype-specific risk predictions. _2025-10-29.docx","AABCG","2166631347866"
"Extending the BOADICEA breast cancer risk prediction model to provide hormonal subtype-specific risk predictions. _2025-10-29.docx","CIMBA","2166631347866"
"Extending the BOADICEA breast cancer risk prediction model to provide hormonal subtype-specific risk predictions. _2025-10-29.docx","LAGENO","2166631347866"
"Extending the BOADICEA breast cancer risk prediction model to provide hormonal subtype-specific risk predictions. _2025-10-29.docx","BCAC","2166631347866"
"Incorporating multi-ancestry polygenic scores within the BOADICEA breast cancer risk prediction model and CanRisk tool_2025-10-29.docx","AABCG","2166649048556"
"Incorporating multi-ancestry polygenic scores within the BOADICEA breast cancer risk prediction model and CanRisk tool_2025-10-29.docx","CIMBA","2166649048556"
"Incorporating multi-ancestry polygenic scores within the BOADICEA breast cancer risk prediction model and CanRisk tool_2025-10-29.docx","LAGENO","2166649048556"
"Incorporating multi-ancestry polygenic scores within the BOADICEA breast cancer risk prediction model and CanRisk tool_2025-10-29.docx","BCAC","2166649048556"
"Incorporating multi-ancestry polygenic scores within the BOADICEA breast cancer risk prediction model and CanRisk tool_2025-10-29.docx","C-NCI","2166649048556"
"Large-scale world-wide case-control study and meta-analyses of variants in the breast cancer predisposition gene FANCM_2025-10-29.docx","AABCG","2177330974991"
"Large-scale world-wide case-control study and meta-analyses of variants in the breast cancer predisposition gene FANCM_2025-10-29.docx","CIMBA","2177330974991"
"Large-scale world-wide case-control study and meta-analyses of variants in the breast cancer predisposition gene FANCM_2025-10-29.docx","LAGENO","2177330974991"
"Large-scale world-wide case-control study and meta-analyses of variants in the breast cancer predisposition gene FANCM_2025-10-29.docx","BCAC","2177330974991"
"Large-scale world-wide case-control study and meta-analyses of variants in the breast cancer predisposition gene FANCM_2025-10-29.docx","C-NCI","2177330974991"
"Large-scale world-wide case-control study and meta-analyses of variants in the breast cancer predisposition gene FANCM_2025-10-29.docx","MERGE","2177330974991"
"Study of Italian breast cancer variants of uncertain significance or presumed to confer moderate-risk._2025-10-29.docx","CIMBA","2177322427112"
"Study of Italian breast cancer variants of uncertain significance or presumed to confer moderate-risk._2025-10-29.docx","BCAC","2177322427112"
"Study of Italian breast cancer variants of uncertain significance or presumed to confer moderate-risk._2025-10-29.docx","MERGE","2177322427112"
"Pharmacogenetic biomarkers in Breast Cancer: Exploring genetic determinants of adverse drug reactions._2025-10-30.docx","AABCG","2166679019575"
"Pharmacogenetic biomarkers in Breast Cancer: Exploring genetic determinants of adverse drug reactions._2025-10-30.docx","CIMBA","2166679019575"
"Pharmacogenetic biomarkers in Breast Cancer: Exploring genetic determinants of adverse drug reactions._2025-10-30.docx","LAGENO","2166679019575"
"Pharmacogenetic biomarkers in Breast Cancer: Exploring genetic determinants of adverse drug reactions._2025-10-30.docx","BCAC","2166679019575"
"Pharmacogenetic biomarkers in Breast Cancer: Exploring genetic determinants of adverse drug reactions._2025-10-30.docx","C-NCI","2166679019575"
"Genetic determinants of HER2 breast cancer in diverse populations_2025-11-05.docx","LAGENO","2166627613499"
"Genetic determinants of HER2 breast cancer in diverse populations_2025-11-05.docx","BCAC","2166627613499"
"Genetic determinants of HER2 breast cancer in diverse populations_2025-11-05.docx","C-NCI","2166627613499"
"Integrative Genomic and Treatment Predictors of Second Primary Breast Cancer Risk_ A Precision Survivorship Approach_2025-07-31-.docx","AABCG","2166668559932"
"Integrative Genomic and Treatment Predictors of Second Primary Breast Cancer Risk_ A Precision Survivorship Approach_2025-07-31-.docx","CIMBA","2166668559932"
"Integrative Genomic and Treatment Predictors of Second Primary Breast Cancer Risk_ A Precision Survivorship Approach_2025-07-31-.docx","LAGENO","2166668559932"
"Integrative Genomic and Treatment Predictors of Second Primary Breast Cancer Risk_ A Precision Survivorship Approach_2025-07-31-.docx","BCAC","2166668559932"
"Personalizing Prevention and Therapy-Related Myeloid Neoplasm Risk Assessment in Breast Cancer Survivors Through Integrating Ger.docx","AABCG","2166670583899"
"Personalizing Prevention and Therapy-Related Myeloid Neoplasm Risk Assessment in Breast Cancer Survivors Through Integrating Ger.docx","CIMBA","2166670583899"
"Personalizing Prevention and Therapy-Related Myeloid Neoplasm Risk Assessment in Breast Cancer Survivors Through Integrating Ger.docx","LAGENO","2166670583899"
"Personalizing Prevention and Therapy-Related Myeloid Neoplasm Risk Assessment in Breast Cancer Survivors Through Integrating Ger.docx","BCAC","2166670583899"
"Personalizing Prevention and Therapy-Related Myeloid Neoplasm Risk Assessment in Breast Cancer Survivors Through Integrating Ger.docx","C-NCI","2166670583899"
"An investigation of etiologic heterogeneity between intrinsic breast cancer subtypes in a multi-ancestry genome-wide and polygenic analyses_2025-08-20.docx","AABCG","2166597119430"
"An investigation of etiologic heterogeneity between intrinsic breast cancer subtypes in a multi-ancestry genome-wide and polygenic analyses_2025-08-20.docx","CIMBA","2166597119430"
"An investigation of etiologic heterogeneity between intrinsic breast cancer subtypes in a multi-ancestry genome-wide and polygenic analyses_2025-08-20.docx","BCAC","2166597119430"
"An investigation of etiologic heterogeneity between intrinsic breast cancer subtypes in a multi-ancestry genome-wide and polygenic analyses_2025-08-20.docx","C-NCI","2166597119430"
"Multi-Ancestry Mendelian Randomization between Plasma Proteins and Overall and ER-Specific Breast Cancer Risk_2025-10-31.docx","AABCG","2166676972528"
"Multi-Ancestry Mendelian Randomization between Plasma Proteins and Overall and ER-Specific Breast Cancer Risk_2025-10-31.docx","CIMBA","2166676972528"
"Multi-Ancestry Mendelian Randomization between Plasma Proteins and Overall and ER-Specific Breast Cancer Risk_2025-10-31.docx","LAGENO","2166676972528"
"Multi-Ancestry Mendelian Randomization between Plasma Proteins and Overall and ER-Specific Breast Cancer Risk_2025-10-31.docx","BCAC","2166676972528"
"Multi-Ancestry Mendelian Randomization between Plasma Proteins and Overall and ER-Specific Breast Cancer Risk_2025-10-31.docx","C-NCI","2166676972528"
